module,domain,depends,policy,priority,ce_oca_alternative,rationale
account_3way_match,accounting,purchase,REPLACE_CE_OCA,P3,OCA/purchase-workflow (triple validación/controls),Controles de compras equivalentes en OCA.
account_accountant,accounting,"account,web_tour",REPLACE_CE_OCA,P2,OCA/account-financial-tools,Metapaquete de utilidades contables.
account_asset,accounting,account,REPLACE_CE_OCA,P2,OCA/account-financial-tools: account_asset*,Sustitutos maduros en OCA.
account_bank_statement_import_camt,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_csv,accounting,"account_bank_statement_import,base_import",REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_ofx,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_qif,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_batch_payment,accounting,account,REPLACE_CE_OCA,P2,OCA/account-payment,Sustitutos maduros en OCA.
account_budget,accounting,account,REPLACE_CE_OCA,P2,OCA/account-budgeting,Sustitutos maduros en OCA.
account_deferred_revenue,accounting,account_asset,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_intrastat,accounting,account_reports,REPLACE_CE_OCA,P2,OCA/intrastat,Sustitutos maduros en OCA.
account_invoice_extract,accounting,"account_accountant,iap,mail_enterprise",NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_online_sync,accounting,account,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_plaid,accounting,account_online_sync,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_predictive_bills,accounting,account_accountant,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_reports,accounting,account_accountant,REPLICATE_CE_PRO,P1,Quantum: financial_reports_dynamic,Motor de reportes contables dinámicos con drilldown.
account_reports_followup,accounting,"account,mail,account_reports",REPLACE_CE_OCA,P2,OCA/credit-control,Seguimiento de cobros con OCA.
account_sepa,accounting,"account_batch_payment,base_iban",REPLACE_CE_OCA,P2,OCA/account-payment: SEPA,Sustitutos maduros en OCA.
account_sepa_direct_debit,accounting,"base_iban,account_batch_payment",REPLACE_CE_OCA,P2,OCA/account-payment: SEPA DD,Sustitutos maduros en OCA.
account_taxcloud,accounting,l10n_us,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_yodlee,accounting,account_online_sync,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
analytic_enterprise,other,"web_grid,analytic,account",REPLACE_CE_OCA,P2,OCA/account-analytic,Analítica en OCA.
barcodes_mobile,other,"barcodes,web_mobile",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
base_automation_hr_contract,other,"base_automation,hr_contract",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
crm_enterprise,sales_pos,"crm,web_dashboard,web_cohort",REPLACE_CE_OCA,P3,OCA/sale-*,Equivalentes OCA/CE.
currency_rate_live,accounting,account,REPLACE_CE_OCA,P2,OCA/currency: currency_rate_update,Actualización de tasas con fuentes libres.
delivery_barcode,inventory_mrp,"stock_barcode,delivery",REPLACE_CE_OCA,P2,OCA/stock-logistics-barcode,Lectura de códigos de barras comunitaria.
delivery_bpost,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_dhl,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_easypost,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_fedex,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
